week,sku,units_sold
1,SKU-GLV-001,459
2,SKU-GLV-001,476
3,SKU-GLV-001,515
4,SKU-GLV-001,473
5,SKU-GLV-001,477
6,SKU-GLV-001,482
7,SKU-GLV-001,439
8,SKU-GLV-001,464
9,SKU-GLV-001,468
10,SKU-GLV-001,475
11,SKU-GLV-001,407
12,SKU-GLV-001,420
13,SKU-GLV-001,398
14,SKU-GLV-001,458
15,SKU-GLV-001,449
16,SKU-GLV-001,396
17,SKU-GLV-001,485
18,SKU-GLV-001,493
19,SKU-GLV-001,477
20,SKU-GLV-001,488
21,SKU-GLV-001,458
22,SKU-GLV-001,459
23,SKU-GLV-001,527
24,SKU-GLV-001,492
25,SKU-GLV-001,520
26,SKU-GLV-001,538
1,SKU-MSK-014,333
2,SKU-MSK-014,367
3,SKU-MSK-014,363
4,SKU-MSK-014,385
5,SKU-MSK-014,351
6,SKU-MSK-014,345
7,SKU-MSK-014,319
8,SKU-MSK-014,311
9,SKU-MSK-014,280
10,SKU-MSK-014,252
11,SKU-MSK-014,270
12,SKU-MSK-014,253
13,SKU-MSK-014,232
14,SKU-MSK-014,217
15,SKU-MSK-014,195
16,SKU-MSK-014,191
17,SKU-MSK-014,195
18,SKU-MSK-014,192
19,SKU-MSK-014,230
20,SKU-MSK-014,225
21,SKU-MSK-014,259
22,SKU-MSK-014,250
23,SKU-MSK-014,294
24,SKU-MSK-014,301
25,SKU-MSK-014,262
26,SKU-MSK-014,282
1,SKU-SYR-220,171
2,SKU-SYR-220,159
3,SKU-SYR-220,176
4,SKU-SYR-220,158
5,SKU-SYR-220,148
6,SKU-SYR-220,165
7,SKU-SYR-220,170
8,SKU-SYR-220,153
9,SKU-SYR-220,146
10,SKU-SYR-220,153
11,SKU-SYR-220,172
12,SKU-SYR-220,165
13,SKU-SYR-220,144
14,SKU-SYR-220,148
15,SKU-SYR-220,144
16,SKU-SYR-220,144
17,SKU-SYR-220,169
18,SKU-SYR-220,151
19,SKU-SYR-220,165
20,SKU-SYR-220,164
21,SKU-SYR-220,159
22,SKU-SYR-220,180
23,SKU-SYR-220,162
24,SKU-SYR-220,183
25,SKU-SYR-220,167
26,SKU-SYR-220,180
1,SKU-GAU-310,92
2,SKU-GAU-310,94
3,SKU-GAU-310,108
4,SKU-GAU-310,105
5,SKU-GAU-310,95
6,SKU-GAU-310,105
7,SKU-GAU-310,91
8,SKU-GAU-310,94
9,SKU-GAU-310,101
10,SKU-GAU-310,96
11,SKU-GAU-310,85
12,SKU-GAU-310,100
13,SKU-GAU-310,85
14,SKU-GAU-310,85
15,SKU-GAU-310,95
16,SKU-GAU-310,87
17,SKU-GAU-310,87
18,SKU-GAU-310,85
19,SKU-GAU-310,86
20,SKU-GAU-310,98
21,SKU-GAU-310,94
22,SKU-GAU-310,103
23,SKU-GAU-310,101
24,SKU-GAU-310,105
25,SKU-GAU-310,118
26,SKU-GAU-310,109
1,SKU-SAN-505,281
2,SKU-SAN-505,309
3,SKU-SAN-505,277
4,SKU-SAN-505,279
5,SKU-SAN-505,324
6,SKU-SAN-505,314
7,SKU-SAN-505,273
8,SKU-SAN-505,259
9,SKU-SAN-505,277
10,SKU-SAN-505,273
11,SKU-SAN-505,223
12,SKU-SAN-505,246
13,SKU-SAN-505,233
14,SKU-SAN-505,216
15,SKU-SAN-505,207
16,SKU-SAN-505,198
17,SKU-SAN-505,204
18,SKU-SAN-505,262
19,SKU-SAN-505,246
20,SKU-SAN-505,296
21,SKU-SAN-505,297
22,SKU-SAN-505,364
23,SKU-SAN-505,380
24,SKU-SAN-505,387
25,SKU-SAN-505,404
26,SKU-SAN-505,476
